month,TPE,TXG,TNN
Jan,92.38,40.545833333333334,23.55
Feb,132.94,59.26,17.887999999999998
Mar,157.43200000000002,79.304,26.351999999999997
Apr,147.66,122.26399999999998,69.52
May,256.028,268.42,170.592
Jun,332.14799999999997,347.15600000000006,387.436
Jul,216.65200000000002,295.772,373.18399999999997
Aug,342.64399999999995,369.208,489.02
Sep,327.172,157.26,194.1
Oct,185.34799999999998,31.36521739130434,42.49583333333333
Nov,93.296,27.108,23.108333333333334
Dec,96.02,34.56,18.54
