Site,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
TPE,92.38,132.94,157.43200000000002,147.66,256.028,332.14799999999997,216.65200000000002,342.64399999999995,327.172,185.34799999999998,93.296,96.02
TYC,40.545833333333334,59.26,79.304,122.26399999999998,268.42,347.15600000000006,295.772,369.208,157.26,31.36521739130434,27.108,34.56
TAN,23.55,17.887999999999998,26.351999999999997,69.52,170.592,387.436,373.18399999999997,489.02,194.1,42.49583333333333,23.108333333333334,18.54
